week,team,opp,home,imp_own,imp_opp,spread,total,dome,kickoff,provider,played
1,ARI,LAC,false,19.5,28.0,8.5,47.5,true,2026-09-13T16:25,nflverse,true
1,ATL,PIT,false,17.0,23.5,6.5,40.5,false,2026-09-13T13:00,nflverse,true
1,BAL,IND,false,25.8,22.8,-3.0,48.5,true,2026-09-13T13:00,nflverse,true
1,BUF,HOU,false,23.0,21.5,-1.5,44.5,true,2026-09-13T13:00,nflverse,true
1,CAR,CHI,true,22.2,25.2,3.0,47.5,false,2026-09-13T13:00,nflverse,true
1,CHI,CAR,false,25.2,22.2,-3.0,47.5,false,2026-09-13T13:00,nflverse,true
1,CIN,TB,true,27.0,23.5,-3.5,50.5,false,2026-09-13T13:00,nflverse,true
1,CLE,JAX,false,16.0,24.5,8.5,40.5,false,2026-09-13T13:00,nflverse,true
1,DAL,NYG,false,25.2,22.2,-3.0,47.5,false,2026-09-13T20:20,nflverse,true
1,DEN,KC,false,20.0,22.5,2.5,42.5,false,2026-09-14T20:15,nflverse,true
1,DET,NO,true,28.2,21.2,-7.0,49.5,true,2026-09-13T13:00,nflverse,true
1,GB,MIN,false,22.5,24.0,1.5,46.5,true,2026-09-13T16:25,nflverse,true
1,HOU,BUF,true,21.5,23.0,1.5,44.5,true,2026-09-13T13:00,nflverse,true
1,IND,BAL,true,22.8,25.8,3.0,48.5,true,2026-09-13T13:00,nflverse,true
1,JAX,CLE,true,24.5,16.0,-8.5,40.5,false,2026-09-13T13:00,nflverse,true
1,KC,DEN,true,22.5,20.0,-2.5,42.5,false,2026-09-14T20:15,nflverse,true
1,LA,SF,true,25.5,22.0,-3.5,47.5,true,2026-09-10T20:35,nflverse,true
1,LAC,ARI,true,28.0,19.5,-8.5,47.5,true,2026-09-13T16:25,nflverse,true
1,LV,MIA,true,21.8,18.8,-3.0,40.5,true,2026-09-13T16:25,nflverse,true
1,MIA,LV,false,18.8,21.8,3.0,40.5,true,2026-09-13T16:25,nflverse,true
1,MIN,GB,true,24.0,22.5,-1.5,46.5,true,2026-09-13T16:25,nflverse,true
1,NE,SEA,false,20.8,23.8,3.0,44.5,false,2026-09-09T20:20,nflverse,true
1,NO,DET,false,21.2,28.2,7.0,49.5,true,2026-09-13T13:00,nflverse,true
1,NYG,DAL,true,22.2,25.2,3.0,47.5,false,2026-09-13T20:20,nflverse,true
1,NYJ,TEN,false,19.0,20.5,1.5,39.5,false,2026-09-13T13:00,nflverse,true
1,PHI,WAS,true,24.8,18.8,-6.0,43.5,false,2026-09-13T16:25,nflverse,true
1,PIT,ATL,true,23.5,17.0,-6.5,40.5,false,2026-09-13T13:00,nflverse,true
1,SEA,NE,true,23.8,20.8,-3.0,44.5,false,2026-09-09T20:20,nflverse,true
1,SF,LA,false,22.0,25.5,3.5,47.5,true,2026-09-10T20:35,nflverse,true
1,TB,CIN,false,23.5,27.0,3.5,50.5,false,2026-09-13T13:00,nflverse,true
1,TEN,NYJ,true,20.5,19.0,-1.5,39.5,false,2026-09-13T13:00,nflverse,true
1,WAS,PHI,false,18.8,24.8,6.0,43.5,false,2026-09-13T16:25,nflverse,true
